C,N,P,S,V,Ni,Nb,Al,Ti,Fe,Hf,Mo,Mn,Co,Si,Cr,Cu,DOI,url,SFE,Error,title,Author,temperature,experiment_type
0.075,0.003,0.024,0.002,0,12,0,0,0,68.236,0,2.6,0.03,0,0.03,17,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,41.8,0.025837321,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.003,0.013,0.026,0.002,0,12,0,0,0,68.411,0,2.6,0.03,0,0.015,16.9,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,41.4,0.02705314,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.003,0.023,0.026,0.002,0,12,0,0,0,68.226,0,2.7,0.03,0,0.19,16.8,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,41.6,0.016346154,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.003,0.061,0.025,0.002,0,12.1,0,0,0,68.061,0,2.6,0.03,0,0.018,17.1,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,41.2,0.024757282,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.003,0.087,0.026,0.002,0,11.8,0,0,0,68.723,0,2.5,0.03,0,0.029,16.8,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,39.7,0.016120907,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.004,0.004,0.029,0.002,0,12,0,0,0,67.927,0,2.7,0.21,0,0.024,17.1,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,41.1,0.015571776,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.003,0.041,0.027,0.002,0,12,0,0,0,68.297,0,2.7,0.21,0,0.02,16.7,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,41.1,0.01459854,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.004,0.004,0.03,0.002,0,12,0,0,0,67.856,0,2.7,0.78,0,0.024,16.6,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,41.7,0.015347722,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.003,0.042,0.026,0.002,0,11.9,0,0,0,67.607,0,2.6,0.8,0,0.02,17,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,41.1,0.020437956,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.055,0.003,0.029,0.002,0,12,0,0,0,66.7,0,2.7,1.37,0,0.041,17.1,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,43,0.023255814,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.004,0.046,0.024,0.002,0,12.1,0,0,0,66.644,0,2.5,1.46,0,0.02,17.2,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,42.2,0.023222749,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.003,0.002,0.023,0.002,0,12,0,0,0,70.128,0,0.9,0.02,0,0.022,16.9,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,37.3,0.019839142,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.003,0.001,0.023,0.002,0,12,0,0,0,70.761,0,0.32,0.02,0,0.02,16.85,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,36.7,0.022070845,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.0006,0.001,0.02,0.001,0,15.32,0,0,0,64.4774,0,2.45,0.02,0,0.01,17.7,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,50.3,0.013916501,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.002,0.0011,0.004,0.0004,0,15.75,0,0,0,64.9895,0,2.28,0.02,0,0.003,16.95,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,51.3,0.014619883,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.002,0.0043,0.004,0.0024,0,15.72,0,0,0,60.8673,0,2.29,3.95,0,0.03,17.13,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,53.6,0.0163,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.003,0.0071,0.004,0.0002,0,15.4,0,0,0,69.1557,0,2.29,0.03,0,0.02,13.09,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,48.9,0.010838446,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.074,0.004,0.004,0.0002,0,15.65,0,0,0,64.9178,0,2.28,0.02,0,0.03,17.02,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,50.9,0.017092338,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.002,0.0974,0.004,0.0005,0,15.56,0,0,0,65.0561,0,2.29,0.01,0,0.03,16.95,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,49.4,0.014574899,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.003,0.0069,0.004,0.0003,0,15.51,0,0,0,66.9658,0,2.31,0.03,0,1.82,13.35,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,46.5,0.016129032,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.05,0.042,0.017,0.001,0,19.85,0,0,0,52.98,0,0.04,1.83,0,1.08,24.11,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,55.5,0.023603604,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.05,0.04,0.023,0.001,0,13.11,0,0,0,66.256,0,2.11,1.81,0,0.52,16.08,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,44.5,0.008539326,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.018,0.1,0.027,0.0013,0,12.5,0,0,0,67.2737,0,2.3,0.83,0,0.49,16.46,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,41.7,0.021822542,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.69,0,0,0,0,0,0,1.16,0,72.25,0,0,25.59,0,0,0,0,10.1007/s10853-008-2919-0,http://link.springer.com/article/10.1007/s10853-008-2919-0,7.75,0.202580645,Effect of Al content on stacking fault energy in austenitic Fe–Mn–Al–C alloys,"Tian, Xing",300,XRD
0.69,0,0,0,0,0,0,3.16,0,71.18,0,0,24.75,0,0,0,0,10.1007/s10853-008-2919-0,http://link.springer.com/article/10.1007/s10853-008-2919-0,10.67,0.051546392,Effect of Al content on stacking fault energy in austenitic Fe–Mn–Al–C alloys,"Tian, Xing",300,XRD
0.67,0,0,0,0,0,0,4.45,0,70.31,0,0,24.47,0,0,0,0,10.1007/s10853-008-2919-0,http://link.springer.com/article/10.1007/s10853-008-2919-0,15.12,0.104497354,Effect of Al content on stacking fault energy in austenitic Fe–Mn–Al–C alloys,"Tian, Xing",300,XRD
0.68,0,0,0,0,0,0,6.27,0,68.1,0,0,24.8,0,0,0,0,10.1007/s10853-008-2919-0,http://link.springer.com/article/10.1007/s10853-008-2919-0,14.95,0.113043478,Effect of Al content on stacking fault energy in austenitic Fe–Mn–Al–C alloys,"Tian, Xing",300,XRD
0.66,0,0,0,0,0,0,9.77,0,65.54,0,0,23.78,0,0,0,0,10.1007/s10853-008-2919-0,http://link.springer.com/article/10.1007/s10853-008-2919-0,54.74,0.097552064,Effect of Al content on stacking fault energy in austenitic Fe–Mn–Al–C alloys,"Tian, Xing",300,XRD
0.01,0,0,0,0,19.81,0,0,0,70.15,0,0.01,0.01,0,0.01,10,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,35.6,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.01,0,0,0,0,9.98,0,0,0,75,0,0.01,0.01,0,0.01,14.98,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,15.2,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.01,0,0,0,0,15.09,0,0,0,69.72,0,0.01,0.01,0,0.01,15.15,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,27.8,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.01,0,0,0,0,19.85,0,0,0,65.05,0,0.01,0.01,0,0.01,15.06,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,31.4,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.01,0,0,0,0,24.46,0,0,0,60.37,0,0.01,0.01,0,0.01,15.13,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,36.9,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.01,0,0,0,0,11.18,0,0,0,70.65,0,0.01,0.01,0,0.01,18.13,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,19.3,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.01,0,0,0,0,9.96,0,0,0,70.87,0,0.01,0.01,0,0.01,19.13,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,19.7,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.01,0,0,0,0,15.09,0,0,0,64.81,0,0.01,0.01,0,0.01,20.06,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,21.8,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.01,0,0,0,0,19.89,0,0,0,60.37,0,0.01,0.01,0,0.01,19.7,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,27.5,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.01,0,0,0,0,24.42,0,0,0,55.45,0,0.01,0.01,0,0.01,20.09,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,36,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.01,0,0,0,0,14.96,0,0,0,59.93,0,0.01,0.01,0,0.01,25.07,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,26,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.01,0,0,0,0,18.78,0,0,0,56.62,0,0.01,0.01,0,0.01,24.56,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,28,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.01,0,0,0,0,23.5,0,0,0,51.62,0,0.01,0.01,0,0.01,24.84,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,30.1,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.0093,0,0,0,0,0,0,2.76,0,72.1107,0,0,22.2,0,2.92,0,0,10.1016/j.actamat.2014.01.001,http://www.sciencedirect.com/science/article/pii/S135964541400010X,15,0.2,The influence of manganese content on the stacking fault and austenite/ε-martensite interfacial energies in Fe–Mn–(Al–Si) steels investigated by experiment and theory,"Pierce, D.T.",300,TEM - WBDF
0.0053,0,0,0,0,0,0,2.66,0,69.6847,0,0,24.7,0,2.95,0,0,10.1016/j.actamat.2014.01.001,http://www.sciencedirect.com/science/article/pii/S135964541400010X,21,0.142857143,The influence of manganese content on the stacking fault and austenite/ε-martensite interfacial energies in Fe–Mn–(Al–Si) steels investigated by experiment and theory,"Pierce, D.T.",300,TEM - WBDF
0.0071,0,0,0,0,0,0,2.74,0,66.8629,0,0,27.5,0,2.89,0,0,10.1016/j.actamat.2014.01.001,http://www.sciencedirect.com/science/article/pii/S135964541400010X,38.5,0.12987013,The influence of manganese content on the stacking fault and austenite/ε-martensite interfacial energies in Fe–Mn–(Al–Si) steels investigated by experiment and theory,"Pierce, D.T.",300,TEM - WBDF
0.015,0.0193,0,0,0,12.95,0,0,0,65.6457,0,2.29,1.3,0,0.43,17.35,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,14.2,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.048,0.023,0,0,0,19.8,0,0,0,53.899,0,0,0.8,0,0.33,25.1,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,30.9,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.048,0.325,0,0,0,20.1,0,0,0,53.377,0,0,0.84,0,0.31,25,0,10.2374/SRI09SP038,http://onlinelibrary.wiley.com/doi/10.2374/SRI09SP038/abstract,42.9,0,Weak Beam TEM Study on Stacking Fault Energy of High Nitrogen Steels,"Ojima, M.",300,TEM
0.81,0,0,0,0,0,0,0,0,70.04,0,0,29.15,0,0,0,0,10.1007/BF01045392,http://link.springer.com/article/10.1007/BF01045392,27.3,0.366300366,The influence of aluminium content to the stacking fault energy in Fe-Mn-Al-C alloy system,"Yang, W.S",300,Thermodynamic Modeling
0.88,0,0,0,0,0,0,1.44,0,66.77,0,0,30.91,0,0,0,0,10.1007/BF01045392,http://link.springer.com/article/10.1007/BF01045392,39.8,0.251256281,The influence of aluminium content to the stacking fault energy in Fe-Mn-Al-C alloy system,"Yang, W.S",300,Thermodynamic Modeling
0.88,0,0,0,0,0,0,5.09,0,63.08,0,0,30.95,0,0,0,0,10.1007/BF01045392,http://link.springer.com/article/10.1007/BF01045392,67.7,0.147710487,The influence of aluminium content to the stacking fault energy in Fe-Mn-Al-C alloy system,"Yang, W.S",300,Thermodynamic Modeling
0.88,0,0,0,0,0,0,8.47,0,60.59,0,0,30.06,0,0,0,0,10.1007/BF01045392,http://link.springer.com/article/10.1007/BF01045392,99.6,0.100401606,The influence of aluminium content to the stacking fault energy in Fe-Mn-Al-C alloy system,"Yang, W.S",300,Thermodynamic Modeling
0.033,0.21,0.038,0.021,0,7.58,0,0,0,64.718,0,0,8.43,0,0.17,18.8,0,10.1007/BF02654717,http://link.springer.com/article/10.1007/BF02654717,53,0.094339623,The effect of nitrogen on stacking fault energy of Fe-Ni-Cr-Mn steels,"Stoltz, R.E.",300,TEM - WBDF
0.06,0.24,0.048,0.031,0,7.46,0,0,0,64.761,0,0,8.96,0,0.24,18.2,0,10.1007/BF02654717,http://link.springer.com/article/10.1007/BF02654717,33,0.090909091,The effect of nitrogen on stacking fault energy of Fe-Ni-Cr-Mn steels,"Stoltz, R.E.",300,TEM - WBDF
0.01,0.24,0.007,0.009,0,6.72,0,0,0,63.244,0,0,8.52,0,0.25,21,0,10.1007/BF02654717,http://link.springer.com/article/10.1007/BF02654717,31,0.129032258,The effect of nitrogen on stacking fault energy of Fe-Ni-Cr-Mn steels,"Stoltz, R.E.",300,TEM - WBDF
0.017,0.27,0.01,0.00004,0,7.07,0,0,0,64.40296,0,0,8.79,0,0.24,19.2,0,10.1007/BF02654717,http://link.springer.com/article/10.1007/BF02654717,37,0.108108108,The effect of nitrogen on stacking fault energy of Fe-Ni-Cr-Mn steels,"Stoltz, R.E.",300,TEM - WBDF
0.035,0.43,0.071,0.033,0,7.12,0,0,0,63.471,0,0,8.55,0,0.19,20.1,0,10.1007/BF02654717,http://link.springer.com/article/10.1007/BF02654717,29,0.103448276,The effect of nitrogen on stacking fault energy of Fe-Ni-Cr-Mn steels,"Stoltz, R.E.",300,TEM - WBDF
0.018,0.52,0.063,0.03,0,7.46,0,0,0,64.509,0,0,8.96,0,0.24,18.2,0,10.1007/BF02654717,http://link.springer.com/article/10.1007/BF02654717,33,0.090909091,The effect of nitrogen on stacking fault energy of Fe-Ni-Cr-Mn steels,"Stoltz, R.E.",300,TEM - WBDF
0,0,0,0,0,32,0,0,0,39,0,3,0,0,0,26,0,0,http://cat.inist.fr/?aModele=afficheN&cpsidt=13667769,60,0,Orientation dependence of resolved shear stresses in single crystals of the nitrogen-containing austenitic stainless steel Fe-26% Cr-32% Ni-3% Mo,"Kireeva, I. V.",300,TEM
0,0.3,0,0,0,32,0,0,0,38.7,0,3,0,0,0,26,0,0,http://cat.inist.fr/?aModele=afficheN&cpsidt=13667769,34,0,Orientation dependence of resolved shear stresses in single crystals of the nitrogen-containing austenitic stainless steel Fe-26% Cr-32% Ni-3% Mo,"Kireeva, I. V.",300,TEM
0,0.3,0,0,0,32,0,0,0,38.7,0,3,0,0,0,26,0,0,http://cat.inist.fr/?aModele=afficheN&cpsidt=13667769,15,0,Orientation dependence of resolved shear stresses in single crystals of the nitrogen-containing austenitic stainless steel Fe-26% Cr-32% Ni-3% Mo,"Kireeva, I. V.",77,TEM
0,0.7,0,0,0,32,0,0,0,38.3,0,3,0,0,0,26,0,0,http://cat.inist.fr/?aModele=afficheN&cpsidt=13667769,17,0,Orientation dependence of resolved shear stresses in single crystals of the nitrogen-containing austenitic stainless steel Fe-26% Cr-32% Ni-3% Mo,"Kireeva, I. V.",300,TEM
0,0.7,0,0,0,32,0,0,0,38.3,0,3,0,0,0,26,0,0,http://cat.inist.fr/?aModele=afficheN&cpsidt=13667769,8.6,0,Orientation dependence of resolved shear stresses in single crystals of the nitrogen-containing austenitic stainless steel Fe-26% Cr-32% Ni-3% Mo,"Kireeva, I. V.",77,TEM
0,0,0,0,0,58.8,0,0,0.48,10,0,0,0,0,0,29,0,10.1016/j.msea.2012.07.072,http://www.sciencedirect.com/science/article/pii/S0921509312010441,20.8,0.125,Stacking fault energy measurements in solid solution strengthened Ni–Cr–Fe alloys using synchrotron radiation,"Unfried-Silgado, Jimy",300,Synchrotron XRD
0,0,0,0,0,61.8,0,0,0,10,0,0,0,0,0,28.2,0,10.1016/j.msea.2012.07.072,http://www.sciencedirect.com/science/article/pii/S0921509312010441,61,0.124590164,Stacking fault energy measurements in solid solution strengthened Ni–Cr–Fe alloys using synchrotron radiation,"Unfried-Silgado, Jimy",300,Synchrotron XRD
0,0,0,0,0,59,0,0,1,9,0,0,0,0,0,29,0,10.1016/j.msea.2012.07.072,http://www.sciencedirect.com/science/article/pii/S0921509312010441,11.1,0.126126126,Stacking fault energy measurements in solid solution strengthened Ni–Cr–Fe alloys using synchrotron radiation,"Unfried-Silgado, Jimy",300,Synchrotron XRD
0,0,0,0,1,59,0,0,0.5,9,0,0,0,0,0,29,0,10.1016/j.msea.2012.07.072,http://www.sciencedirect.com/science/article/pii/S0921509312010441,9.7,0.12371134,Stacking fault energy measurements in solid solution strengthened Ni–Cr–Fe alloys using synchrotron radiation,"Unfried-Silgado, Jimy",300,Synchrotron XRD
0,0,0,0,0,59,1,0,0.5,9,0,0,0,0,0,29,0,10.1016/j.msea.2012.07.072,http://www.sciencedirect.com/science/article/pii/S0921509312010441,26.6,0.12406015,Stacking fault energy measurements in solid solution strengthened Ni–Cr–Fe alloys using synchrotron radiation,"Unfried-Silgado, Jimy",300,Synchrotron XRD
0,0,0,0,1,56,1,0,1,9,0,0,0,0,0,29,0,10.1016/j.msea.2012.07.072,http://www.sciencedirect.com/science/article/pii/S0921509312010441,13.8,0.123188406,Stacking fault energy measurements in solid solution strengthened Ni–Cr–Fe alloys using synchrotron radiation,"Unfried-Silgado, Jimy",300,Synchrotron XRD
0,0,0,0,0,54.6,2.36,0,0.44,9.45,0,4.27,0,0,0,27.03,0,10.1016/j.msea.2012.07.072,http://www.sciencedirect.com/science/article/pii/S0921509312010441,15.9,0.125786164,Stacking fault energy measurements in solid solution strengthened Ni–Cr–Fe alloys using synchrotron radiation,"Unfried-Silgado, Jimy",300,Synchrotron XRD
0,0,0,0,0,54.7,2.33,0,0.56,9.48,0.36,3.09,0,0,0,27.63,0,10.1016/j.msea.2012.07.072,http://www.sciencedirect.com/science/article/pii/S0921509312010441,3.8,0.131578947,Stacking fault energy measurements in solid solution strengthened Ni–Cr–Fe alloys using synchrotron radiation,"Unfried-Silgado, Jimy",300,Synchrotron XRD
0.006,0.005,0,0,0,10,0,0,0,69.989,0,0,0,0,0,20,0,0,0,23,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.018,0.003,0,0,0,15,0,0,0,64.979,0,0,0,0,0,20,0,0,0,32,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
